resultId,raceId,driverId,constructorId,number_x,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,driverRef,number_y,code,forename,surname,dob,nationality,url
34,19,21,10,21.0,17,12,12,12,0,55,\N,\N,52,16,1:36.962,205.800,11,2008,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
35,19,22,11,17.0,14,13,13,13,0,55,\N,\N,55,11,1:36.693,206.372,11,2008,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
36,19,3,3,7.0,16,14,14,14,0,55,\N,\N,55,13,1:36.782,206.182,11,2008,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
37,19,19,8,19.0,21,15,15,15,0,55,\N,\N,55,18,1:38.171,203.265,11,2008,davidson,\N,DAV,Anthony,Davidson,1979-04-18,British,http://en.wikipedia.org/wiki/Anthony_Davidson
38,19,11,8,18.0,19,16,16,16,0,54,\N,\N,53,19,1:38.504,202.578,12,2008,sato,\N,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
39,19,6,3,8.0,22,17,17,17,0,54,\N,\N,19,17,1:37.711,204.222,12,2008,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
40,19,20,5,15.0,15,\N,R,18,0,39,\N,\N,37,14,1:36.870,205.995,5,2008,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
41,19,13,6,2.0,1,\N,R,19,0,30,\N,\N,15,5,1:35.914,208.048,20,2008,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
42,19,16,10,20.0,20,\N,R,20,0,5,\N,\N,3,20,1:40.330,198.891,9,2008,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
43,19,10,7,12.0,10,\N,R,21,0,1,\N,\N,\N,\N,\N,\N,4,2008,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
44,19,7,5,14.0,18,\N,R,22,0,0,\N,\N,\N,\N,\N,\N,20,2008,bourdais,\N,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
45,20,13,6,2.0,2,1,1,1,10,57,1:31:06.970,5466970,38,3,1:33.600,208.153,1,2008,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
46,20,8,6,1.0,4,2,2,2,8,57,+3.339,5470309,35,4,1:33.709,207.911,1,2008,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
47,20,9,2,4.0,1,3,3,3,6,57,+4.998,5471968,55,5,1:33.775,207.765,1,2008,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
48,20,2,2,3.0,6,4,4,4,5,57,+8.409,5475379,48,2,1:33.565,208.231,1,2008,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
49,20,5,1,23.0,5,5,5,5,4,57,+26.789,5493759,49,1,1:33.193,209.062,1,2008,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
50,20,15,7,11.0,7,6,6,6,3,57,+41.314,5508284,45,7,1:34.204,206.819,1,2008,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
51,20,17,9,10.0,11,7,7,7,2,57,+45.473,5512443,51,8,1:34.305,206.597,1,2008,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
52,20,3,3,7.0,8,8,8,8,1,57,+55.889,5522859,57,6,1:34.072,207.109,1,2008,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
53,20,10,7,12.0,13,9,9,9,0,57,+1:09.500,5536470,56,9,1:34.807,205.503,1,2008,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
54,20,4,4,5.0,10,10,10,10,0,57,+1:17.181,5544151,35,13,1:35.194,204.668,1,2008,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
55,20,22,11,17.0,12,11,11,11,0,57,+1:17.862,5544832,40,10,1:34.855,205.399,1,2008,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
56,20,21,10,21.0,18,12,12,12,0,56,\N,\N,56,11,1:35.057,204.963,11,2008,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
57,20,1,1,22.0,3,13,13,13,0,56,\N,\N,25,19,1:35.520,203.969,11,2008,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
58,20,6,3,8.0,16,14,14,14,0,56,\N,\N,30,17,1:35.433,204.155,11,2008,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
59,20,7,5,14.0,15,15,15,15,0,56,\N,\N,33,15,1:35.333,204.369,11,2008,bourdais,\N,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
60,20,19,8,19.0,21,16,16,16,0,56,\N,\N,45,14,1:35.324,204.389,11,2008,davidson,\N,DAV,Anthony,Davidson,1979-04-18,British,http://en.wikipedia.org/wiki/Anthony_Davidson
61,20,11,8,18.0,22,17,17,17,0,56,\N,\N,56,20,1:35.891,203.180,11,2008,sato,\N,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
62,20,14,9,9.0,17,18,18,18,0,56,\N,\N,43,16,1:35.351,204.331,11,2008,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
63,20,16,10,20.0,20,19,19,19,0,56,\N,\N,55,18,1:35.442,204.136,12,2008,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
64,20,12,4,6.0,14,\N,R,20,0,40,\N,\N,31,12,1:35.129,204.808,6,2008,piquet_jr,\N,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
65,20,18,11,16.0,9,\N,R,21,0,19,\N,\N,11,21,1:36.125,202.686,4,2008,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
66,20,20,5,15.0,19,\N,R,22,0,0,\N,\N,\N,\N,\N,\N,5,2008,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
67,21,8,6,1.0,1,1,1,1,10,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1,2008,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
68,21,13,6,2.0,3,2,2,2,8,66,+3.228,5902279,45,2,1:21.801,204.863,1,2008,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
69,21,1,1,22.0,5,3,3,3,6,66,+4.187,5903238,20,3,1:22.017,204.323,1,2008,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
70,21,9,2,4.0,4,4,4,4,5,66,+5.694,5904745,20,4,1:22.106,204.102,1,2008,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
71,21,17,9,10.0,7,5,5,5,4,66,+35.938,5934989,19,8,1:22.564,202.969,1,2008,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
72,21,18,11,16.0,13,6,6,6,3,66,+53.010,5952061,66,5,1:22.353,203.489,1,2008,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
73,21,6,3,8.0,12,7,7,7,2,66,+58.244,5957295,48,15,1:23.549,200.576,1,2008,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
74,21,15,7,11.0,8,8,8,8,1,66,+59.435,5958486,45,10,1:22.758,202.494,1,2008,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
75,21,2,2,3.0,9,9,9,9,0,66,+1:03.073,5962124,21,7,1:22.519,203.080,1,2008,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
76,21,21,10,21.0,19,10,10,10,0,65,\N,\N,40,14,1:23.439,200.841,11,2008,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
77,21,10,7,12.0,14,11,11,11,0,65,\N,\N,57,12,1:23.007,201.886,11,2008,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
78,21,14,9,9.0,17,12,12,12,0,65,\N,\N,57,11,1:22.842,202.288,11,2008,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
79,21,11,8,18.0,22,13,13,13,0,65,\N,\N,34,17,1:24.617,198.045,11,2008,sato,\N,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
80,21,3,3,7.0,15,\N,R,14,0,41,\N,\N,20,13,1:23.319,201.130,5,2008,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
81,21,4,4,5.0,2,\N,R,15,0,34,\N,\N,15,9,1:22.683,202.677,5,2008,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
82,21,22,11,17.0,11,\N,R,16,0,34,\N,\N,21,16,1:23.858,199.837,4,2008,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
83,21,5,1,23.0,6,\N,R,17,0,21,\N,\N,19,6,1:22.453,203.243,3,2008,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
84,21,19,8,19.0,21,\N,R,18,0,8,\N,\N,6,20,1:26.864,192.922,21,2008,davidson,\N,DAV,Anthony,Davidson,1979-04-18,British,http://en.wikipedia.org/wiki/Anthony_Davidson
85,21,7,5,14.0,16,\N,R,19,0,7,\N,\N,6,19,1:25.999,194.862,4,2008,bourdais,\N,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
86,21,12,4,6.0,10,\N,R,20,0,6,\N,\N,6,18,1:25.444,196.128,4,2008,piquet_jr,\N,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
87,21,16,10,20.0,20,\N,R,21,0,0,\N,\N,\N,\N,\N,\N,4,2008,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
88,21,20,5,15.0,18,\N,R,22,0,0,\N,\N,\N,\N,\N,\N,4,2008,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
89,22,13,6,2.0,1,1,1,1,10,58,1:26:49.451,5209451,16,3,1:26.666,221.734,1,2008,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
90,22,1,1,22.0,3,2,2,2,8,58,+3.779,5213230,31,2,1:26.529,222.085,1,2008,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
91,22,8,6,1.0,4,3,3,3,6,58,+4.271,5213722,20,1,1:26.506,222.144,1,2008,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
92,22,9,2,4.0,5,4,4,4,5,58,+21.945,5231396,17,4,1:26.780,221.442,1,2008,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
93,22,2,2,3.0,9,5,5,5,4,58,+38.741,5248192,20,5,1:27.219,220.328,1,2008,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
94,22,4,4,5.0,7,6,6,6,3,58,+53.724,5263175,57,6,1:27.280,220.174,1,2008,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
95,22,17,9,10.0,6,7,7,7,2,58,+1:04.229,5273680,14,7,1:27.630,219.294,1,2008,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
96,22,3,3,7.0,11,8,8,8,1,58,+1:11.406,5280857,55,9,1:27.795,218.882,1,2008,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
97,22,14,9,9.0,10,9,9,9,0,58,+1:15.270,5284721,41,12,1:27.966,218.457,1,2008,coulthard,\N,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard
98,22,15,7,11.0,8,10,10,10,0,58,+1:16.344,5285795,52,11,1:27.926,218.556,1,2008,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
99,22,18,11,16.0,13,11,11,11,0,57,\N,\N,57,13,1:27.998,218.377,11,2008,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
100,22,5,1,23.0,2,12,12,12,0,57,\N,\N,55,8,1:27.640,219.269,11,2008,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
101,22,10,7,12.0,15,13,13,13,0,57,\N,\N,28,16,1:28.303,217.623,11,2008,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
102,22,22,11,17.0,12,14,14,14,0,57,\N,\N,56,14,1:28.017,218.330,11,2008,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
103,22,12,4,6.0,17,15,15,15,0,57,\N,\N,40,10,1:27.867,218.703,11,2008,piquet_jr,\N,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
104,22,16,10,20.0,19,16,16,16,0,57,\N,\N,35,18,1:28.780,216.454,11,2008,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
105,22,20,5,15.0,14,17,17,17,0,57,\N,\N,38,15,1:28.180,217.926,11,2008,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
106,22,7,5,14.0,18,\N,R,18,0,24,\N,\N,19,17,1:28.745,216.539,22,2008,bourdais,\N,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
107,22,6,3,8.0,16,\N,R,19,0,1,\N,\N,\N,\N,\N,\N,4,2008,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
108,22,21,10,21.0,20,\N,R,20,0,0,\N,\N,\N,\N,\N,\N,4,2008,fisichella,\N,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
109,23,1,1,22.0,3,1,1,1,10,76,2:00:42.742,7242742,71,6,1:18.510,153.152,1,2008,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
110,23,9,2,4.0,5,2,2,2,8,76,+3.064,7245806,75,5,1:17.933,154.286,1,2008,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
111,23,13,6,2.0,1,3,3,3,6,76,+4.811,7247553,76,4,1:17.886,154.379,1,2008,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
112,23,17,9,10.0,9,4,4,4,5,76,+19.295,7262037,74,8,1:19.036,152.133,1,2008,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
113,23,20,5,15.0,19,5,5,5,4,76,+24.657,7267399,74,7,1:18.787,152.614,1,2008,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
114,23,22,11,17.0,14,6,6,6,3,76,+28.408,7271150,75,9,1:19.574,151.104,1,2008,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
115,23,6,3,8.0,13,7,7,7,2,76,+30.180,7272922,75,13,1:19.910,150.469,1,2008,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
116,23,5,1,23.0,4,8,8,8,1,76,+33.191,7275933,74,2,1:17.282,155.586,1,2008,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
117,23,8,6,1.0,2,9,9,9,0,76,+33.792,7276534,74,1,1:16.689,156.789,1,2008,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
118,23,4,4,5.0,7,10,10,10,0,75,\N,\N,73,3,1:17.869,154.413,11,2008,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
119,23,18,11,16.0,11,11,11,11,0,75,\N,\N,74,10,1:19.582,151.089,11,2008,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
120,23,10,7,12.0,10,12,12,12,0,75,\N,\N,75,11,1:19.618,151.021,11,2008,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
121,23,15,7,11.0,8,13,13,13,0,75,\N,\N,75,12,1:19.830,150.620,11,2008,trulli,\N,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
122,23,2,2,3.0,12,14,14,14,0,72,\N,\N,72,14,1:20.251,149.829,14,2008,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
123,23,16,10,20.0,18,\N,R,15,0,67,\N,\N,60,16,1:22.039,146.564,4,2008,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
124,23,3,3,7.0,6,\N,R,16,0,59,\N,\N,58,15,1:21.270,147.951,3,2008,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
