Nationalities,Year,Kolumna2
Argentine-Italian,1987,1
Argentine-Italian,1988,1
Argentine-Italian,1989,1
Argentine-Italian,1990,1
Argentine-Italian,1991,1
Argentine-Italian,1992,1
Argentine-Italian,1993,1
Argentine-Italian,1994,1
Argentine-Italian,1995,1
Argentine-Italian,1996,1
Argentine-Italian,1997,1
Argentine-Italian,1998,1
Argentine-Italian,1999,1
Argentine-Italian,2000,1
Argentine-Italian,2001,1
Argentine-Italian,2002,1
Argentine-Italian,2003,1
Argentine-Italian,2004,1
Argentine-Italian,2005,1
Argentine-Italian,2006,1
Argentine-Italian,2007,1
Argentine-Italian,2008,1
Argentine-Italian,2009,1
Argentine-Italian,2010,1
Argentine-Italian,2011,1
Argentine-Italian,2012,1
Argentine-Italian,2013,1
Argentine-Italian,2014,1
Argentine-Italian,2015,1
Argentine-Italian,2016,1
Argentine-Italian,2017,1
Argentine-Italian,2018,1
Argentine-Italian,2019,1
Argentine-Italian,2020,1
Argentine-Italian,2021,1
Argentine-Italian,2022,1
Australian,1950,0
Australian,1951,0
Australian,1952,1
Australian,1953,1
Australian,1954,1
Australian,1955,2
Australian,1956,2
Australian,1957,3
Australian,1958,4
Australian,1959,4
Australian,1960,4
Australian,1961,4
Australian,1962,4
Australian,1963,4
Australian,1964,5
Australian,1965,6
Australian,1966,6
Australian,1967,6
Australian,1968,6
Australian,1969,6
Australian,1970,7
Australian,1971,8
Australian,1972,8
Australian,1973,8
Australian,1974,10
Australian,1975,11
Australian,1976,12
Australian,1977,13
Australian,1978,13
Australian,1979,13
Australian,1980,13
Australian,1981,13
Australian,1982,13
Australian,1983,13
Australian,1984,13
Australian,1985,13
Australian,1986,13
Australian,1987,13
Australian,1988,13
Australian,1989,13
Australian,1990,15
Australian,1991,15
Australian,1992,15
Australian,1993,15
Australian,1994,15
Australian,1995,15
Australian,1996,15
Australian,1997,15
Australian,1998,15
Australian,1999,15
Australian,2000,15
Australian,2001,15
Australian,2002,16
Australian,2003,16
Australian,2004,16
Australian,2005,16
Australian,2006,16
Australian,2007,16
Australian,2008,16
Australian,2009,16
Australian,2010,16
Australian,2011,17
Australian,2012,17
Australian,2013,17
Australian,2014,17
Australian,2015,17
Australian,2016,17
Australian,2017,17
Australian,2018,17
Australian,2019,17
Australian,2020,17
Australian,2021,17
Australian,2022,17
Austrian,1950,0
Austrian,1951,0
Austrian,1952,0
Austrian,1953,0
Austrian,1954,0
Austrian,1955,0
Austrian,1956,0
Austrian,1957,0
Austrian,1958,0
Austrian,1959,0
Austrian,1960,0
Austrian,1961,0
Austrian,1962,0
Austrian,1963,0
Austrian,1964,1
Austrian,1965,1
Austrian,1966,1
Austrian,1967,1
Austrian,1968,1
Austrian,1969,1
Austrian,1970,1
Austrian,1971,3
Austrian,1972,3
Austrian,1973,3
Austrian,1974,5
Austrian,1975,6
Austrian,1976,8
Austrian,1977,8
Austrian,1978,8
Austrian,1979,8
Austrian,1980,8
Austrian,1981,8
Austrian,1982,8
Austrian,1983,8
Austrian,1984,10
Austrian,1985,10
Austrian,1986,10
Austrian,1987,10
Austrian,1988,10
Austrian,1989,10
Austrian,1990,10
Austrian,1991,11
Austrian,1992,11
Austrian,1993,11
Austrian,1994,12
Austrian,1995,12
Austrian,1996,12
Austrian,1997,13
Austrian,1998,13
Austrian,1999,13
Austrian,2000,13
Austrian,2001,13
Austrian,2002,13
Austrian,2003,13
Austrian,2004,14
Austrian,2005,15
Austrian,2006,15
Austrian,2007,15
Austrian,2008,15
Austrian,2009,15
Austrian,2010,15
Austrian,2011,15
Austrian,2012,15
Austrian,2013,15
Austrian,2014,15
Austrian,2015,15
Austrian,2016,15
Austrian,2017,15
Austrian,2018,15
Austrian,2019,15
Austrian,2020,15
Austrian,2021,15
Austrian,2022,15
Belgian,1950,1
Belgian,1951,2
Belgian,1952,6
Belgian,1953,7
Belgian,1954,7
Belgian,1955,7
Belgian,1956,9
Belgian,1957,9
Belgian,1958,10
Belgian,1959,12
Belgian,1960,13
Belgian,1961,13
Belgian,1962,13
Belgian,1963,13
Belgian,1964,13
Belgian,1965,13
Belgian,1966,13
Belgian,1967,14
Belgian,1968,14
Belgian,1969,14
Belgian,1970,14
Belgian,1971,14
Belgian,1972,14
Belgian,1973,14
Belgian,1974,15
Belgian,1975,15
Belgian,1976,16
Belgian,1977,17
Belgian,1978,17
Belgian,1979,17
Belgian,1980,17
Belgian,1981,17
Belgian,1982,17
Belgian,1983,18
Belgian,1984,18
Belgian,1985,18
Belgian,1986,18
Belgian,1987,18
Belgian,1988,18
Belgian,1989,19
Belgian,1990,19
Belgian,1991,20
Belgian,1992,20
Belgian,1993,20
Belgian,1994,21
Belgian,1995,21
Belgian,1996,21
Belgian,1997,21
Belgian,1998,21
Belgian,1999,21
Belgian,2000,21
Belgian,2001,21
Belgian,2002,21
Belgian,2003,21
Belgian,2004,21
Belgian,2005,21
Belgian,2006,21
Belgian,2007,21
Belgian,2008,21
Belgian,2009,21
Belgian,2010,21
Belgian,2011,22
Belgian,2012,22
Belgian,2013,22
Belgian,2014,22
Belgian,2015,22
Belgian,2016,23
Belgian,2017,23
Belgian,2018,23
Belgian,2019,23
Belgian,2020,23
Belgian,2021,23
Belgian,2022,23
Brazilian,1950,0
Brazilian,1951,1
Brazilian,1952,2
Brazilian,1953,2
Brazilian,1954,2
Brazilian,1955,3
Brazilian,1956,3
Brazilian,1957,3
Brazilian,1958,3
Brazilian,1959,4
Brazilian,1960,4
Brazilian,1961,4
Brazilian,1962,4
Brazilian,1963,4
Brazilian,1964,4
Brazilian,1965,4
Brazilian,1966,4
Brazilian,1967,4
Brazilian,1968,4
Brazilian,1969,4
Brazilian,1970,5
Brazilian,1971,5
Brazilian,1972,7
Brazilian,1973,8
Brazilian,1974,8
Brazilian,1975,8
Brazilian,1976,10
Brazilian,1977,10
Brazilian,1978,11
Brazilian,1979,11
Brazilian,1980,11
Brazilian,1981,12
Brazilian,1982,14
Brazilian,1983,14
Brazilian,1984,15
Brazilian,1985,15
Brazilian,1986,15
Brazilian,1987,15
Brazilian,1988,16
Brazilian,1989,16
Brazilian,1990,16
Brazilian,1991,16
Brazilian,1992,17
Brazilian,1993,18
Brazilian,1994,18
Brazilian,1995,19
Brazilian,1996,21
Brazilian,1997,21
Brazilian,1998,21
Brazilian,1999,22
Brazilian,2000,23
Brazilian,2001,24
Brazilian,2002,25
Brazilian,2003,27
Brazilian,2004,27
Brazilian,2005,27
Brazilian,2006,27
Brazilian,2007,27
Brazilian,2008,28
Brazilian,2009,28
Brazilian,2010,30
Brazilian,2011,30
Brazilian,2012,30
Brazilian,2013,30
Brazilian,2014,30
Brazilian,2015,31
Brazilian,2016,31
Brazilian,2017,31
Brazilian,2018,31
Brazilian,2019,31
Brazilian,2020,32
Brazilian,2021,32
Brazilian,2022,32
British,1950,12
British,1951,18
British,1952,33
British,1953,38
British,1954,45
British,1955,46
British,1956,53
British,1957,59
British,1958,65
British,1959,78
British,1960,82
British,1961,87
British,1962,89
British,1963,94
British,1964,96
British,1965,100
British,1966,102
British,1967,108
British,1968,112
British,1969,113
British,1970,115
British,1971,117
British,1972,117
British,1973,121
British,1974,126
British,1975,133
British,1976,134
British,1977,136
British,1978,137
British,1979,137
British,1980,140
British,1981,141
British,1982,141
British,1983,143
British,1984,144
British,1985,144
British,1986,145
British,1987,145
British,1988,146
British,1989,148
British,1990,148
British,1991,149
British,1992,151
British,1993,152
British,1994,153
British,1995,153
British,1996,153
British,1997,153
British,1998,153
British,1999,153
British,2000,154
British,2001,154
British,2002,156
British,2003,157
British,2004,157
British,2005,157
British,2006,157
British,2007,158
British,2008,158
British,2009,158
British,2010,158
British,2011,159
British,2012,159
British,2013,160
British,2014,161
British,2015,161
British,2016,162
British,2017,162
British,2018,162
British,2019,164
British,2020,165
British,2021,165
British,2022,165
Canadian,1950,0
Canadian,1951,0
Canadian,1952,0
Canadian,1953,0
Canadian,1954,0
Canadian,1955,0
Canadian,1956,0
Canadian,1957,0
Canadian,1958,0
Canadian,1959,0
Canadian,1960,0
Canadian,1961,1
Canadian,1962,1
Canadian,1963,2
Canadian,1964,2
Canadian,1965,2
Canadian,1966,2
Canadian,1967,4
Canadian,1968,5
Canadian,1969,7
Canadian,1970,7
Canadian,1971,8
Canadian,1972,8
Canadian,1973,8
Canadian,1974,8
Canadian,1975,8
Canadian,1976,8
Canadian,1977,9
Canadian,1978,9
Canadian,1979,9
Canadian,1980,9
Canadian,1981,10
Canadian,1982,10
Canadian,1983,10
Canadian,1984,10
Canadian,1985,10
Canadian,1986,11
Canadian,1987,11
Canadian,1988,11
Canadian,1989,11
Canadian,1990,11
Canadian,1991,11
Canadian,1992,11
Canadian,1993,11
Canadian,1994,11
Canadian,1995,11
Canadian,1996,12
Canadian,1997,12
Canadian,1998,12
Canadian,1999,12
Canadian,2000,12
Canadian,2001,12
Canadian,2002,12
Canadian,2003,12
Canadian,2004,12
Canadian,2005,12
Canadian,2006,12
Canadian,2007,12
Canadian,2008,12
Canadian,2009,12
Canadian,2010,12
Canadian,2011,12
Canadian,2012,12
Canadian,2013,12
Canadian,2014,12
Canadian,2015,12
Canadian,2016,12
Canadian,2017,13
Canadian,2018,13
Canadian,2019,13
Canadian,2020,14
Canadian,2021,14
Canadian,2022,14
Chilean,1950,0
Chilean,1951,0
Chilean,1952,0
Chilean,1953,0
Chilean,1954,0
Chilean,1955,0
Chilean,1956,0
Chilean,1957,0
Chilean,1958,0
Chilean,1959,0
Chilean,1960,0
Chilean,1961,0
Chilean,1962,0
Chilean,1963,0
Chilean,1964,0
Chilean,1965,0
Chilean,1966,0
Chilean,1967,0
Chilean,1968,0
Chilean,1969,0
Chilean,1970,0
Chilean,1971,0
Chilean,1972,0
Chilean,1973,0
Chilean,1974,0
Chilean,1975,0
Chilean,1976,0
Chilean,1977,0
Chilean,1978,0
Chilean,1979,0
Chilean,1980,0
Chilean,1981,1
Chilean,1982,1
Chilean,1983,1
Chilean,1984,1
Chilean,1985,1
Chilean,1986,1
Chilean,1987,1
Chilean,1988,1
Chilean,1989,1
Chilean,1990,1
Chilean,1991,1
Chilean,1992,1
Chilean,1993,1
Chilean,1994,1
Chilean,1995,1
Chilean,1996,1
Chilean,1997,1
Chilean,1998,1
Chilean,1999,1
Chilean,2000,1
Chilean,2001,1
Chilean,2002,1
Chilean,2003,1
Chilean,2004,1
Chilean,2005,1
Chilean,2006,1
Chilean,2007,1
Chilean,2008,1
Chilean,2009,1
Chilean,2010,1
Chilean,2011,1
Chilean,2012,1
Chilean,2013,1
Chilean,2014,1
Chilean,2015,1
Chilean,2016,1
Chilean,2017,1
Chilean,2018,1
Chilean,2019,1
Chilean,2020,1
Chilean,2021,1
Chilean,2022,1
Chinese,1950,0
Chinese,1951,0
Chinese,1952,0
Chinese,1953,0
Chinese,1954,0
Chinese,1955,0
Chinese,1956,0
Chinese,1957,0
Chinese,1958,0
Chinese,1959,0
Chinese,1960,0
Chinese,1961,0
Chinese,1962,0
Chinese,1963,0
Chinese,1964,0
Chinese,1965,0
Chinese,1966,0
Chinese,1967,0
Chinese,1968,0
Chinese,1969,0
Chinese,1970,0
Chinese,1971,0
Chinese,1972,0
Chinese,1973,0
Chinese,1974,0
Chinese,1975,0
Chinese,1976,0
Chinese,1977,0
Chinese,1978,0
Chinese,1979,0
Chinese,1980,0
Chinese,1981,0
Chinese,1982,0
Chinese,1983,0
Chinese,1984,0
Chinese,1985,0
Chinese,1986,0
Chinese,1987,0
Chinese,1988,0
Chinese,1989,0
Chinese,1990,0
Chinese,1991,0
Chinese,1992,0
Chinese,1993,0
Chinese,1994,0
Chinese,1995,0
Chinese,1996,0
Chinese,1997,0
Chinese,1998,0
Chinese,1999,0
Chinese,2000,0
Chinese,2001,0
Chinese,2002,0
Chinese,2003,0
Chinese,2004,0
Chinese,2005,0
Chinese,2006,0
Chinese,2007,0
Chinese,2008,0
Chinese,2009,0
Chinese,2010,0
Chinese,2011,0
Chinese,2012,0
Chinese,2013,0
Chinese,2014,0
Chinese,2015,0
Chinese,2016,0
Chinese,2017,0
Chinese,2018,0
Chinese,2019,0
Chinese,2020,0
Chinese,2021,0
Chinese,2022,1
Colombian,1950,0
Colombian,1951,0
Colombian,1952,0
Colombian,1953,0
Colombian,1954,0
Colombian,1955,0
Colombian,1956,0
Colombian,1957,0
Colombian,1958,0
Colombian,1959,0
Colombian,1960,0
Colombian,1961,0
Colombian,1962,0
Colombian,1963,0
Colombian,1964,0
Colombian,1965,0
Colombian,1966,0
Colombian,1967,0
Colombian,1968,0
Colombian,1969,0
Colombian,1970,0
Colombian,1971,0
Colombian,1972,0
Colombian,1973,0
Colombian,1974,0
Colombian,1975,0
Colombian,1976,0
Colombian,1977,0
Colombian,1978,0
Colombian,1979,0
Colombian,1980,0
Colombian,1981,1
Colombian,1982,2
Colombian,1983,2
Colombian,1984,2
Colombian,1985,2
Colombian,1986,2
Colombian,1987,2
Colombian,1988,2
Colombian,1989,2
Colombian,1990,2
Colombian,1991,2
Colombian,1992,2
Colombian,1993,2
Colombian,1994,2
Colombian,1995,2
Colombian,1996,2
Colombian,1997,2
Colombian,1998,2
Colombian,1999,2
Colombian,2000,2
Colombian,2001,3
Colombian,2002,3
Colombian,2003,3
Colombian,2004,3
Colombian,2005,3
Colombian,2006,3
Colombian,2007,3
Colombian,2008,3
Colombian,2009,3
Colombian,2010,3
Colombian,2011,3
Colombian,2012,3
Colombian,2013,3
Colombian,2014,3
Colombian,2015,3
Colombian,2016,3
Colombian,2017,3
Colombian,2018,3
Colombian,2019,3
Colombian,2020,3
Colombian,2021,3
Colombian,2022,3
Czech,1950,0
Czech,1951,0
Czech,1952,0
Czech,1953,0
Czech,1954,0
Czech,1955,0
Czech,1956,0
Czech,1957,0
Czech,1958,0
Czech,1959,0
Czech,1960,0
Czech,1961,0
Czech,1962,0
Czech,1963,0
Czech,1964,0
Czech,1965,0
Czech,1966,0
Czech,1967,0
Czech,1968,0
Czech,1969,0
Czech,1970,0
Czech,1971,0
Czech,1972,0
Czech,1973,0
Czech,1974,0
Czech,1975,0
Czech,1976,0
Czech,1977,0
Czech,1978,0
Czech,1979,0
Czech,1980,0
Czech,1981,0
Czech,1982,0
Czech,1983,0
Czech,1984,0
Czech,1985,0
Czech,1986,0
Czech,1987,0
Czech,1988,0
Czech,1989,0
Czech,1990,0
Czech,1991,0
Czech,1992,0
Czech,1993,0
Czech,1994,0
Czech,1995,0
Czech,1996,0
Czech,1997,0
Czech,1998,0
Czech,1999,0
Czech,2000,0
Czech,2001,1
Czech,2002,1
Czech,2003,1
Czech,2004,1
Czech,2005,1
Czech,2006,1
Czech,2007,1
Czech,2008,1
Czech,2009,1
Czech,2010,1
Czech,2011,1
Czech,2012,1
Czech,2013,1
Czech,2014,1
Czech,2015,1
Czech,2016,1
Czech,2017,1
Czech,2018,1
Czech,2019,1
Czech,2020,1
Czech,2021,1
Czech,2022,1
Danish,1950,0
Danish,1951,0
Danish,1952,0
Danish,1953,0
Danish,1954,0
Danish,1955,0
Danish,1956,0
Danish,1957,0
Danish,1958,0
Danish,1959,0
Danish,1960,0
Danish,1961,0
Danish,1962,0
Danish,1963,0
Danish,1964,0
Danish,1965,0
Danish,1966,0
Danish,1967,0
Danish,1968,0
Danish,1969,0
Danish,1970,0
Danish,1971,0
Danish,1972,0
Danish,1973,0
Danish,1974,1
Danish,1975,1
Danish,1976,2
Danish,1977,2
Danish,1978,2
Danish,1979,2
Danish,1980,2
Danish,1981,2
Danish,1982,2
Danish,1983,2
Danish,1984,2
Danish,1985,2
Danish,1986,2
Danish,1987,2
Danish,1988,2
Danish,1989,2
Danish,1990,2
Danish,1991,2
Danish,1992,2
Danish,1993,2
Danish,1994,2
Danish,1995,3
Danish,1996,3
Danish,1997,3
Danish,1998,3
Danish,1999,3
Danish,2000,3
Danish,2001,3
Danish,2002,3
Danish,2003,4
Danish,2004,4
Danish,2005,4
Danish,2006,4
Danish,2007,4
Danish,2008,4
Danish,2009,4
Danish,2010,4
Danish,2011,4
Danish,2012,4
Danish,2013,4
Danish,2014,5
Danish,2015,5
Danish,2016,5
Danish,2017,5
Danish,2018,5
Danish,2019,5
Danish,2020,5
Danish,2021,5
Danish,2022,5
Dutch,1950,0
Dutch,1951,0
Dutch,1952,2
Dutch,1953,2
Dutch,1954,2
Dutch,1955,2
Dutch,1956,2
Dutch,1957,3
Dutch,1958,3
Dutch,1959,3
Dutch,1960,3
Dutch,1961,3
Dutch,1962,5
Dutch,1963,6
Dutch,1964,6
Dutch,1965,6
Dutch,1966,6
Dutch,1967,6
Dutch,1968,6
Dutch,1969,6
Dutch,1970,6
Dutch,1971,7
Dutch,1972,7
Dutch,1973,7
Dutch,1974,7
Dutch,1975,8
Dutch,1976,9
Dutch,1977,10
Dutch,1978,10
Dutch,1979,11
Dutch,1980,11
Dutch,1981,11
Dutch,1982,11
Dutch,1983,11
Dutch,1984,12
Dutch,1985,12
Dutch,1986,12
Dutch,1987,12
Dutch,1988,12
Dutch,1989,12
Dutch,1990,12
Dutch,1991,12
Dutch,1992,12
Dutch,1993,12
Dutch,1994,13
Dutch,1995,13
Dutch,1996,13
Dutch,1997,13
Dutch,1998,13
Dutch,1999,13
Dutch,2000,13
Dutch,2001,13
Dutch,2002,13
Dutch,2003,13
Dutch,2004,13
Dutch,2005,15
Dutch,2006,15
Dutch,2007,15
Dutch,2008,15
Dutch,2009,15
Dutch,2010,15
Dutch,2011,15
Dutch,2012,15
Dutch,2013,16
Dutch,2014,16
Dutch,2015,17
Dutch,2016,17
Dutch,2017,17
Dutch,2018,17
Dutch,2019,17
Dutch,2020,17
Dutch,2021,17
Dutch,2022,17
East German,1950,0
East German,1951,0
East German,1952,2
East German,1953,3
East German,1954,3
East German,1955,3
East German,1956,3
East German,1957,3
East German,1958,3
East German,1959,3
East German,1960,3
East German,1961,3
East German,1962,3
East German,1963,3
East German,1964,3
East German,1965,3
East German,1966,3
East German,1967,3
East German,1968,3
East German,1969,3
East German,1970,3
East German,1971,3
East German,1972,3
East German,1973,3
East German,1974,3
East German,1975,3
East German,1976,3
East German,1977,3
East German,1978,3
East German,1979,3
East German,1980,3
East German,1981,3
East German,1982,3
East German,1983,3
East German,1984,3
East German,1985,3
East German,1986,3
East German,1987,3
East German,1988,3
East German,1989,3
East German,1990,3
East German,1991,3
East German,1992,3
East German,1993,3
East German,1994,3
East German,1995,3
East German,1996,3
East German,1997,3
East German,1998,3
East German,1999,3
East German,2000,3
East German,2001,3
East German,2002,3
East German,2003,3
East German,2004,3
East German,2005,3
East German,2006,3
East German,2007,3
East German,2008,3
East German,2009,3
East German,2010,3
East German,2011,3
East German,2012,3
East German,2013,3
East German,2014,3
East German,2015,3
East German,2016,3
East German,2017,3
East German,2018,3
East German,2019,3
East German,2020,3
East German,2021,3
East German,2022,3
Finnish,1950,0
Finnish,1951,0
Finnish,1952,0
Finnish,1953,0
Finnish,1954,0
Finnish,1955,0
Finnish,1956,0
Finnish,1957,0
Finnish,1958,0
Finnish,1959,0
Finnish,1960,0
Finnish,1961,0
Finnish,1962,0
Finnish,1963,0
Finnish,1964,0
Finnish,1965,0
Finnish,1966,0
Finnish,1967,0
Finnish,1968,0
Finnish,1969,0
Finnish,1970,0
Finnish,1971,0
Finnish,1972,0
Finnish,1973,0
Finnish,1974,1
Finnish,1975,1
Finnish,1976,1
Finnish,1977,2
Finnish,1978,3
Finnish,1979,3
Finnish,1980,3
Finnish,1981,3
Finnish,1982,3
Finnish,1983,3
Finnish,1984,3
Finnish,1985,3
Finnish,1986,3
Finnish,1987,3
Finnish,1988,3
Finnish,1989,4
Finnish,1990,4
Finnish,1991,5
Finnish,1992,5
Finnish,1993,5
Finnish,1994,6
Finnish,1995,6
Finnish,1996,6
Finnish,1997,6
Finnish,1998,6
Finnish,1999,6
Finnish,2000,6
Finnish,2001,7
Finnish,2002,7
Finnish,2003,7
Finnish,2004,7
Finnish,2005,7
Finnish,2006,7
Finnish,2007,8
Finnish,2008,8
Finnish,2009,8
Finnish,2010,8
Finnish,2011,8
Finnish,2012,8
Finnish,2013,9
Finnish,2014,9
Finnish,2015,9
Finnish,2016,9
Finnish,2017,9
Finnish,2018,9
Finnish,2019,9
Finnish,2020,9
Finnish,2021,9
Finnish,2022,9
French,1950,12
French,1951,15
French,1952,18
French,1953,18
French,1954,20
French,1955,22
French,1956,22
French,1957,22
French,1958,25
French,1959,26
French,1960,26
French,1961,27
French,1962,27
French,1963,27
French,1964,27
French,1965,27
French,1966,28
French,1967,31
French,1968,32
French,1969,32
French,1970,33
French,1971,36
French,1972,38
French,1973,38
French,1974,42
French,1975,43
French,1976,43
French,1977,44
French,1978,46
French,1979,47
French,1980,48
French,1981,48
French,1982,48
French,1983,49
French,1984,52
French,1985,52
French,1986,52
French,1987,54
French,1988,55
French,1989,58
French,1990,58
French,1991,59
French,1992,60
French,1993,61
French,1994,63
French,1995,64
French,1996,64
French,1997,64
French,1998,64
French,1999,65
French,2000,65
French,2001,65
French,2002,65
French,2003,65
French,2004,65
French,2005,65
French,2006,66
French,2007,66
French,2008,67
French,2009,68
French,2010,68
French,2011,68
French,2012,70
French,2013,71
French,2014,71
French,2015,71
French,2016,72
French,2017,73
French,2018,73
French,2019,73
French,2020,73
French,2021,73
French,2022,73
German,1950,1
German,1951,1
German,1952,11
German,1953,19
German,1954,20
German,1955,20
German,1956,21
German,1957,21
German,1958,21
German,1959,21
German,1960,21
German,1961,21
German,1962,23
German,1963,24
German,1964,24
German,1965,24
German,1966,24
German,1967,26
German,1968,26
German,1969,26
German,1970,27
German,1971,27
German,1972,27
German,1973,28
German,1974,29
German,1975,29
German,1976,29
German,1977,30
German,1978,30
German,1979,30
German,1980,31
German,1981,31
German,1982,31
German,1983,31
German,1984,32
German,1985,33
German,1986,33
German,1987,33
German,1988,34
German,1989,36
German,1990,36
German,1991,38
German,1992,38
German,1993,38
German,1994,39
German,1995,39
German,1996,39
German,1997,40
German,1998,40
German,1999,40
German,2000,41
German,2001,41
German,2002,41
German,2003,41
German,2004,42
German,2005,42
German,2006,43
German,2007,46
German,2008,46
German,2009,46
German,2010,47
German,2011,47
German,2012,47
German,2013,47
German,2014,48
German,2015,48
German,2016,49
German,2017,49
German,2018,49
German,2019,49
German,2020,49
German,2021,50
German,2022,50
Hungarian,1950,0
Hungarian,1951,0
Hungarian,1952,0
Hungarian,1953,0
Hungarian,1954,0
Hungarian,1955,0
Hungarian,1956,0
Hungarian,1957,0
Hungarian,1958,0
Hungarian,1959,0
Hungarian,1960,0
Hungarian,1961,0
Hungarian,1962,0
Hungarian,1963,0
Hungarian,1964,0
